Latitude;Longitude;Naam;Stad;Hoofdinstelling;Aantal locaties ;Hoofdlocatie;Aantal bedden;Opmerking bedden;Eerste poliklinische bezoeken (2018);Eerste poliklinische bezoeken (2022);Dagbehandelingen;Klinische opnames;Aantal medewerkers;Verzorgingsgebied;Sanquin uitwisseling;Partner [Ja/Nee];Contract datum;Straat;Nummer;Postcode;Type instelling;Type ziekenhuis;Aantal locaties norm.;Aantal bedden norm.;Eerste poliklinische bezoeken (2023) norm.;Dagbehandelingen norm.;Klinische opnames norm.;Aantal medewerkers norm.;Sanquin uitwisseling norm.;Som;Som norm.;Website
52,573105;4,6989698;Noordwest Ziekenhuisgroep - Limmen;Limmen;Noordwest Ziekenhuisgroep;7;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;
52,7832855;4,8076107;Noordwest Ziekenhuisgroep - Schagen;Schagen;Noordwest Ziekenhuisgroep;7;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;;;;;;;;;;;https://www.nwz.nl
53,0558002;4,7866114;Noordwest Ziekenhuisgroep - Texel;Den Burg;Noordwest Ziekenhuisgroep;7;Nee;;;;;;;;;;Nee;;;;;Polikliniek;;;;;;;;;;;
52,3103302;4,9432598;Novartis Pharma B.V.;Amsterdam;Novartis Pharma B.V.;2;-;;;;;;;;;;Nee;;Haaksbergweg;16;1101 BX;Farmaceut;;;;;;;;;;;https://www.novartis.com/nl-nl/
52,3576664;4,991293;OLVG - Ijburg;Amsterdam;Onze Lieve Vrouwen Gasthuis;3;Nee;;;;;;;;;;Nee;;;;;Ziekenhuis;Top klinisch (Santeon);;;;;;;;;;
52,35815026;4,915330279;OLVG - Oost;Amsterdam;Onze Lieve Vrouwen Gasthuis;3;Nee;;;;;;;;;123;Nee;;;;;Ziekenhuis;Top klinisch (Santeon);;;;;;;;;;https://www.olvg.nl/
52,37090437;4,83988974;OLVG - West;Amsterdam;Onze Lieve Vrouwen Gasthuis;3;Ja;1010;;234324;169562;31574;33708;7000;;223;Nee;;Jan Tooropstraat;164;1061AE;Ziekenhuis;Top klinisch (Santeon);0,2;0,72;0,78;0,71;0,29;0,4;0,7;3,8;0,93;https://www.olvg.nl/
53,18309987;6,958749512;Ommelander Ziekenhuis Groningen - Scheemda;Scheemda;Ommelander Ziekenhuis Groningen;1;Ja;191;;67801;68492;11724;9117;1300;;55;Nee;;;;;Ziekenhuis;;0,07;0,02;0,24;0,17;0,02;0,03;0,17;0,72;0,08;https://www.ommelanderziekenhuis.nl
52,0650151;4,4925263;Orfeokliniek;Zoetermeer;Orfeokliniek;1;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,3406279;4,8586261;Organon Pharma BV - Amsterdam;Amsterdam;Organon Pharma BV;2;-;;;;;;;;;;Nee;;Fred Roeskestraat;115;1076 EE;Farmaceut;;;;;;;;;;;
