,RunId,repositioning,seed,delivery_mode,Fulfilled demand,Car overdue,Drone overdue,Total overdue,Drone fast Deliveries,Drone safe Deliveries,Total drone deliveries,Car fast Deliveries,Car safe Deliveries,Total Car deliveries,Total deliveries,Directly performed,Average deliverytime,Average drone delivery time,Average drone fast delivery time,Average drone safe delivery time,Average car delivery time,Average car fast delivery time,Average car safe delivery time,Drone variable cost,Car variable cost,Fixed configuration cost,Labour costs,Drone risk,Drone emissions,Total costs,Total risk,Emissions,Fast deliveries,Medium deliveries,Late deliveries,Drone Idle time,Drone safe flying empty time,Drone fast flying empty time,Drone safe flying filled time,Drone fast flying filled time,Car fast driving filled time,Num drones,Repositionings,Non idle vehicle chosen,Day of week,Percentage overdue
55,55,True,54,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,16,2,0.1111111111111111
56,56,True,56,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,14,7,0.12345679012345678
57,57,True,57,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,16,1,0.1111111111111111
58,58,True,58,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,5,0.12345679012345678
59,59,True,60,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,16,3,0.1111111111111111
60,60,True,59,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,2,0.12345679012345678
61,61,True,62,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,5,0.12345679012345678
62,62,True,61,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,15,4,0.12345679012345678
63,63,True,63,combi,81,0,9,9,47,34,81,0,0,0,81,0,43.148148148148145,43.148148148148145,43.744680851063826,42.3235294117647,0.0,0.0,0.0,212.45670334631492,0,365000,780000,0.000237480577120098,33.99307253541038,1145212.4567033462,0.000237480577120098,33.99307253541038,0,0,0,2107,941,1275,0,0,0,3,0,17,4,0.1111111111111111
64,64,True,64,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,16,4,0.12345679012345678
65,65,True,66,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,17,1,0.12345679012345678
66,66,True,67,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,14,1,0.12345679012345678
67,67,True,65,combi,81,0,10,10,47,34,81,0,0,0,81,0,43.75308641975309,43.75308641975309,44.787234042553195,42.3235294117647,0.0,0.0,0.0,214.93246019801353,0,365000,780000,0.00024510936698317803,34.389193631682154,1145214.932460198,0.00024510936698317803,34.389193631682154,0,0,0,2081,941,1301,0,0,0,3,0,18,4,0.12345679012345678
68,68,True,68,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,18,6,0.1111111111111111
69,69,True,69,combi,81,0,9,9,48,33,81,0,0,0,81,0,42.96296296296296,42.96296296296296,44.208333333333336,41.15151515151515,0.0,0.0,0.0,210.79829714197925,0,365000,780000,0.0002508560620753478,33.72772754271667,1145210.798297142,0.0002508560620753478,33.72772754271667,0,0,0,2122,870,1331,0,0,0,3,0,17,6,0.1111111111111111
